,MAINMODE,ODTravelTimeToAirport,zipcode,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,transit_duration,ModeGroup
0,Limo/Executive Car/Town Car Service,60,10019.0,47.8790227505,56.0678149397,66.695923923,33816,58.0833333333,other
14,Limo/Executive Car/Town Car Service,80,10128.0,35.0562903152,57.6039844076,68.5232867705,7183,72.2166666667,other
15,Limo/Executive Car/Town Car Service,40,10128.0,35.0562903152,57.6039844076,68.5232867705,7183,72.2166666667,other
19,Limo/Executive Car/Town Car Service,35,10128.0,35.0562903152,57.6039844076,68.5232867705,7183,72.2166666667,other
22,Limo/Executive Car/Town Car Service,20,11385.0,28.719047619,38.7138095238,46.0523260545,21,64.05,other
40,Limo/Executive Car/Town Car Service,30,10017.0,40.1878643112,57.3144911669,68.1789177386,20095,62.2333333333,other
44,Limo/Executive Car/Town Car Service,15,10017.0,40.1878643112,57.3144911669,68.1789177386,20095,62.2333333333,other
52,Limo/Executive Car/Town Car Service,90,10023.0,48.2056049597,56.3785424574,67.0655523614,9221,74.5333333333,other
66,Limo/Executive Car/Town Car Service,50,10012.0,45.3349925493,53.7220306052,63.9054771456,5816,72.5166666667,other
68,Limo/Executive Car/Town Car Service,40,10012.0,45.3349925493,53.7220306052,63.9054771456,5816,72.5166666667,other
69,Limo/Executive Car/Town Car Service,70,10012.0,45.3349925493,53.7220306052,63.9054771456,5816,72.5166666667,other
70,Limo/Executive Car/Town Car Service,120,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,other
97,Limo/Executive Car/Town Car Service,75,10022.0,40.9683836687,55.9943029876,66.6084771842,18443,53.6833333333,other
110,Limo/Executive Car/Town Car Service,60,10006.0,49.0843245968,54.4985483871,64.8291901699,992,71.1166666667,other
112,Limo/Executive Car/Town Car Service,60,11103.0,24.5843665768,41.110458221,48.903278947,371,58.7666666667,other
116,Limo/Executive Car/Town Car Service,37,11201.0,37.6085556357,50.6562653208,60.2585711909,2774,55.1333333333,other
117,Limo/Executive Car/Town Car Service,55,11201.0,37.6085556357,50.6562653208,60.2585711909,2774,55.1333333333,other
119,Limo/Executive Car/Town Car Service,60,11201.0,37.6085556357,50.6562653208,60.2585711909,2774,55.1333333333,other
126,Limo/Executive Car/Town Car Service,30,10003.0,42.803859969,56.1840193965,66.8341558769,12064,70.3833333333,other
130,Limo/Executive Car/Town Car Service,60,10003.0,42.803859969,56.1840193965,66.8341558769,12064,70.3833333333,other
140,Limo/Executive Car/Town Car Service,25,10029.0,33.8378619692,57.5347393822,68.4409157891,2072,73.0833333333,other
152,Limo/Executive Car/Town Car Service,60,10027.0,39.8760295475,57.5798725762,68.4946043459,1805,74.75,other
168,Limo/Executive Car/Town Car Service,30,11206.0,33.0192214112,43.985620438,52.3234514773,274,64.75,other
193,Limo/Executive Car/Town Car Service,45,11226.0,33.584751773,44.4712765957,52.901167698,94,66.5,other
198,Limo/Executive Car/Town Car Service,32,11225.0,32.3137566138,39.5672222222,47.0675100504,126,75.9333333333,other
199,Limo/Executive Car/Town Car Service,25,11225.0,32.3137566138,39.5672222222,47.0675100504,126,75.9333333333,other
202,Limo/Executive Car/Town Car Service,50,10013.0,47.2605788882,53.4796735132,63.6171793015,6524,72.1833333333,other
207,Limo/Executive Car/Town Car Service,30,11221.0,28.1725071225,37.414017094,44.5061474295,117,60.3,other
