,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
0,WJA7032,GJS6212,1465330020.0,1465335900.0,CYUL,KJFK,CRJ7,,9.0,0.0,56.0
1,BAW5296,AAL261,1465362600.0,1465382040.0,KSEA,KJFK,B738,First: Refreshments / Economy: No meal,16.0,0.0,134.0
2,KLM6403,TCF3342,1465337100.0,1465341660.0,KACK,KJFK,E135,,0.0,0.0,50.0
3,AEA3399,DAL479,1465300500.0,1465332360.0,LEBL,KJFK,A333,Business: Meal / Economy: Meal,0.0,34.0,264.0
4,KLM8067,TCF3395,1465321200.0,1465325580.0,KACK,KJFK,E135,,0.0,0.0,50.0
5,KLM5585,GJS6303,1465315200.0,1465320960.0,CYUL,KJFK,CRJ7,,9.0,0.0,56.0
6,BAW4802,LOF4192,1465334400.0,1465340820.0,KRDU,KJFK,E145,,0.0,0.0,50.0
7,DAL799,,1465316340.0,1465326000.0,KMCO,KJFK,A320,First: Lunch / Economy: Lunch,12.0,0.0,138.0
8,DAL2601,,1465342740.0,1465352820.0,KMCO,KJFK,A320,First: Dinner / Economy: Dinner,12.0,0.0,138.0
9,CPA7675,LOF4192,1465334400.0,1465340820.0,KRDU,KJFK,E145,,0.0,0.0,50.0
10,DAL2653,,1465333500.0,1465343400.0,KMCO,KJFK,A319,First: Dinner / Economy: Dinner,12.0,0.0,114.0
11,JAL7627,LAN532,1465348500.0,1465386900.0,SCEL,KJFK,B789,,0.0,0.0,270.0
12,JBU1684,,1465302600.0,1465311900.0,KMCO,KJFK,E190,,0.0,0.0,100.0
13,VIR111,,1465295400.0,1465323900.0,EGLL,KJFK,A346,Business: Lunch / Economy: Lunch,0.0,45.0,263.0
14,KLM8241,GJS6212,1465330020.0,1465335900.0,CYUL,KJFK,CRJ7,,9.0,0.0,56.0
15,DAL210,,1465298400.0,1465333140.0,LIRP,KJFK,B752,Economy: Lunch,0.0,0.0,219.0
16,JAL7479,LOF4197,1465297200.0,1465303260.0,KRDU,KJFK,E145,,0.0,0.0,50.0
17,CAL9612,VRD416,1465338600.0,1465358340.0,KLAX,KJFK,A320,,8.0,0.0,141.0
18,EAQ3231,AAL292,1465304400.0,1465324440.0,KLAX,KJFK,,First: Meal / Business: Meal / Economy: Food for sale,10.0,20.0,72.0
19,AZA7608,DAL210,1465298400.0,1465333140.0,LIRP,KJFK,B752,,0.0,0.0,219.0
20,UAE6796,JBU154,1465320420.0,1465330380.0,KPBI,KJFK,A321,,0.0,0.0,190.0
21,ELY8742,JBU72,1465363140.0,1465379160.0,KSLC,KJFK,A320,Economy: No meal,0.0,0.0,150.0
22,ELY11,,1465304400.0,1465347900.0,LLBG,KJFK,B744,"First: Breakfast, Hot meal / Business: Breakfast, Hot meal / Economy: Breakfast, Hot meal",8.0,52.0,348.0
23,JBU1184,,1465293600.0,1465302780.0,KMCO,KJFK,A321,,0.0,0.0,190.0
24,VIR9,,1465311900.0,1465340400.0,EGLL,KJFK,A346,Business: Dinner / Economy: Dinner,0.0,45.0,263.0
25,JBU490,,1465306800.0,1465316100.0,KMCO,KJFK,A321,,0.0,0.0,190.0
26,EAQ4636,LOF4192,1465334400.0,1465340820.0,KRDU,KJFK,E145,Economy: No meal,0.0,0.0,50.0
27,JBU500,,1465317000.0,1465326000.0,KDAB,KJFK,A320,,0.0,0.0,150.0
28,AZA5963,GJS6303,1465315200.0,1465320960.0,CYUL,KJFK,CRJ7,,9.0,0.0,56.0
29,EAQ3072,LOF4197,1465297200.0,1465303260.0,KRDU,KJFK,E145,Economy: No meal,0.0,0.0,50.0
30,QTR4149,JBU500,1465317000.0,1465326000.0,KDAB,KJFK,A320,,0.0,0.0,150.0
31,ELY7,,1465285200.0,1465328700.0,LLBG,KJFK,B744,"First: Breakfast, Hot meal / Business: Breakfast, Hot meal / Economy: Breakfast, Hot meal",8.0,52.0,348.0
