,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
0,KLM5556,DAL1248,1465328700.0,1465337460.0,KATL,KLGA,MD88,First: Refreshments / Economy: No meal,16.0,0.0,133.0
1,DAL3393,TCF3393,1465328220.0,1465334280.0,KCMH,KLGA,E170,,12.0,0.0,64.0
2,AFR2154,FLG4152,1465344300.0,1465351440.0,KCVG,KLGA,CRJ9,,0.0,12.0,64.0
3,AAL2118,,1465336800.0,1465341720.0,KBOS,KLGA,E190,,0.0,0.0,98.0
4,EAQ4397,AAL1170,1465335900.0,1465348620.0,KDFW,KLGA,,First: Meal / Business: Meal / Economy: Food for sale,10.0,20.0,72.0
5,WJA6673,FLG4152,1465344300.0,1465351440.0,KCVG,KLGA,CRJ9,,0.0,12.0,64.0
6,AMX5236,DAL1986,1465335900.0,1465344600.0,KATL,KLGA,MD88,,16.0,0.0,133.0
7,AAL365,,1465335600.0,1465343580.0,KORD,KLGA,B738,First: Dinner / Economy: Food for sale,16.0,0.0,134.0
8,AAL2144,,1465297200.0,1465301820.0,KDCA,KLGA,E190,,0.0,0.0,98.0
9,AAL2141,,1465340400.0,1465345320.0,KBOS,KLGA,E190,,0.0,0.0,98.0
10,AAL5066,JIA5066,1465334700.0,1465340880.0,KCLT,KLGA,CRJ9,,0.0,0.0,86.0
11,WJA6421,GJS6192,1465342800.0,1465351140.0,KBNA,KLGA,CRJ7,,9.0,0.0,56.0
12,WJA6805,GJS6227,1465344000.0,1465351140.0,KCLT,KLGA,CRJ7,,9.0,0.0,56.0
13,WJA6459,FLG3786,1465321500.0,1465328580.0,KCVG,KLGA,CRJ9,,0.0,12.0,64.0
14,DAL2699,,1465295400.0,1465300200.0,KBOS,KLGA,,,12.0,0.0,98.0
15,BAW6926,AAL2415,1465336740.0,1465347480.0,KMIA,KLGA,B738,First: Dinner / Economy: No meal,16.0,0.0,134.0
16,SWA537,,1465300200.0,1465307700.0,KBNA,KLGA,B737,,0.0,0.0,143.0
17,WJA7158,FLG4138,1465306800.0,1465313700.0,KCVG,KLGA,CRJ9,,0.0,12.0,64.0
18,DAL5530,ASQ5530,1465309440.0,1465314240.0,KRIC,KLGA,CRJ7,,9.0,0.0,56.0
19,AAL2137,,1465293600.0,1465297140.0,KDCA,KLGA,E190,,0.0,0.0,98.0
20,WJA6458,FLG3717,1465297500.0,1465304760.0,KCVG,KLGA,CRJ9,,0.0,12.0,64.0
21,WJA6640,TCF3294,1465336800.0,1465344720.0,KIND,KLGA,E170,,12.0,0.0,64.0
22,SWA2958,,1465311000.0,1465318800.0,KBNA,KLGA,B737,,0.0,0.0,143.0
23,AAL364,,1465329600.0,1465337520.0,KORD,KLGA,B738,First: Refreshments / Economy: Food for sale,16.0,0.0,134.0
24,DAL2667,,1465297200.0,1465302000.0,KBOS,KLGA,,,12.0,0.0,98.0
25,DAL6257,GJS6257,1465327500.0,1465332480.0,KBUF,KLGA,CRJ7,,9.0,0.0,56.0
26,AAL2213,,1465299600.0,1465311900.0,KDFW,KLGA,B738,First: Breakfast / Economy: Food for sale,16.0,0.0,134.0
27,NKS604,,1465297320.0,1465308000.0,KFLL,KLGA,,,0.0,0.0,220.0
28,ASA1991,AAL2153,1465333200.0,1465338300.0,KDCA,KLGA,E190,,0.0,0.0,98.0
29,DAL6209,GJS6209,1465316640.0,1465321740.0,KBUF,KLGA,CRJ7,,9.0,0.0,56.0
30,DAL2671,,1465304400.0,1465309200.0,KBOS,KLGA,,,12.0,0.0,98.0
31,DAL5938,TCF5938,1465309800.0,1465317900.0,KORD,KLGA,E170,First: Breakfast / Economy: Breakfast,12.0,0.0,64.0
32,BAW6924,AAL1367,1465340700.0,1465351380.0,KMIA,KLGA,B738,First: Dinner / Economy: No meal,16.0,0.0,134.0
33,DAL2675,,1465311600.0,1465316280.0,KBOS,KLGA,,,12.0,0.0,98.0
34,DAL3314,TCF3314,1465328280.0,1465341540.0,KDFW,KLGA,E170,First: Lunch / Economy: Lunch,9.0,0.0,60.0
35,DAL3316,TCF3316,1465302600.0,1465309140.0,KCMH,KLGA,E170,,12.0,0.0,64.0
36,DAL1386,,1465314300.0,1465322160.0,KATL,KLGA,MD90,First: Lunch / Economy: Lunch,16.0,0.0,144.0
37,DAL4141,FLG4141,1465326600.0,1465331460.0,KMHT,KLGA,,,0.0,0.0,50.0
38,DAL6305,GJS6305,1465304700.0,1465309980.0,KBUF,KLGA,CRJ7,,9.0,0.0,56.0
39,DAL2679,,1465318800.0,1465323600.0,KBOS,KLGA,,,12.0,0.0,98.0
40,SWA2638,,1465334400.0,1465341900.0,KMKE,KLGA,B737,,0.0,0.0,143.0
41,SWA1433,,1465332300.0,1465340100.0,KBNA,KLGA,B737,,0.0,0.0,143.0
42,DAL4009,FLG4009,1465300800.0,1465309140.0,KBNA,KLGA,CRJ9,Business: Refreshments / Economy: Refreshments,0.0,12.0,64.0
43,AAL368,,1465324500.0,1465332360.0,KORD,KLGA,B738,First: Refreshments / Economy: Food for sale,16.0,0.0,134.0
44,DAL3973,FLG3973,1465305000.0,1465309860.0,KMHT,KLGA,,,0.0,0.0,50.0
45,DAL3671,FLG3671,1465293600.0,1465298220.0,KMHT,KLGA,,,0.0,0.0,50.0
46,WJA6405,ASQ5135,1465336800.0,1465344540.0,KCLT,KLGA,CRJ7,,9.0,0.0,56.0
47,NKS180,,1465313280.0,1465323600.0,KFLL,KLGA,,,0.0,0.0,220.0
48,AAL5097,JIA5097,1465304580.0,1465310940.0,KDAY,KLGA,,,0.0,0.0,50.0
49,AMX5396,DAL2086,1465339500.0,1465348140.0,KATL,KLGA,MD88,,16.0,0.0,133.0
50,DAL2683,,1465326000.0,1465330800.0,KBOS,KLGA,,,12.0,0.0,98.0
51,AAL4166,LOF4166,1465298700.0,1465304880.0,KRDU,KLGA,E145,,0.0,0.0,50.0
52,DAL3759,FLG3759,1465339500.0,1465344960.0,KBUF,KLGA,CRJ9,,0.0,12.0,64.0
53,WJA6338,ASQ5099,1465329600.0,1465336680.0,KCLT,KLGA,CRJ7,,9.0,0.0,56.0
54,DAL3865,FLG3865,1465310280.0,1465318800.0,KBNA,KLGA,CRJ9,Business: Refreshments / Economy: Refreshments,0.0,12.0,64.0
55,DAL2687,,1465333200.0,1465338000.0,KBOS,KLGA,,,12.0,0.0,98.0
56,NKS174,,1465329780.0,1465340400.0,KFLL,KLGA,,,0.0,0.0,220.0
57,DAL2691,,1465340400.0,1465345200.0,KBOS,KLGA,,,12.0,0.0,98.0
58,AAL1986,,1465335540.0,1465338720.0,KPHL,KLGA,E190,,0.0,0.0,98.0
59,WJA6982,FLG4141,1465326600.0,1465331460.0,KMHT,KLGA,,,0.0,0.0,50.0
60,WJA7437,FLG3866,1465327200.0,1465337160.0,KSRQ,KLGA,CRJ9,,0.0,12.0,64.0
61,DAL1283,,1465293600.0,1465298700.0,KBUF,KLGA,A320,,12.0,0.0,138.0
62,AMX5251,DAL982,1465325100.0,1465333260.0,KATL,KLGA,B739,,20.0,0.0,160.0
63,DAL6229,GJS6229,1465342500.0,1465353120.0,KMCI,KLGA,CRJ7,First: Dinner / Economy: Dinner,9.0,0.0,56.0
64,BAW7814,AAL2325,1465344000.0,1465354860.0,KMIA,KLGA,B738,First: Dinner / Economy: No meal,16.0,0.0,134.0
65,DAL6190,GJS6190,1465297200.0,1465305540.0,KMSN,KLGA,CRJ7,First: Refreshments / Economy: Refreshments,9.0,0.0,56.0
66,DAL2734,TCF2734,1465293600.0,1465298640.0,KBOS,KLGA,E170,,12.0,0.0,64.0
67,DAL4024,FLG4024,1465333200.0,1465339560.0,KRDU,KLGA,CRJ9,,0.0,12.0,64.0
68,DAL2751,TCF2751,1465299000.0,1465303740.0,KBOS,KLGA,E170,,12.0,0.0,64.0
69,AAL374,,1465321800.0,1465329360.0,KORD,KLGA,B738,First: Lunch / Economy: Food for sale,16.0,0.0,134.0
70,DAL4182,FLG4182,1465318800.0,1465327020.0,KBNA,KLGA,CRJ9,Business: Refreshments / Economy: Refreshments,0.0,12.0,64.0
71,KLM6218,DAL1586,1465321500.0,1465329900.0,KATL,KLGA,MD90,First: Refreshments / Economy: No meal,16.0,0.0,144.0
72,WJA6978,FLG3973,1465305000.0,1465309860.0,KMHT,KLGA,,,0.0,0.0,50.0
73,WJA6976,FLG3671,1465293600.0,1465298220.0,KMHT,KLGA,,,0.0,0.0,50.0
74,DAL2735,TCF2735,1465300800.0,1465306200.0,KBOS,KLGA,E170,,12.0,0.0,64.0
75,WJA6392,ASQ5069,1465315200.0,1465322220.0,KCLT,KLGA,CRJ7,,9.0,0.0,56.0
76,DAL2736,TCF2736,1465308000.0,1465312980.0,KBOS,KLGA,E170,,12.0,0.0,64.0
77,WJA7014,TCF3399,1465309800.0,1465316880.0,KCLT,KLGA,E170,,12.0,0.0,64.0
78,AAL4560,RPA4560,1465327500.0,1465335720.0,KBNA,KLGA,E170,First: Refreshments / Economy: Food for sale,12.0,0.0,64.0
79,DAL6270,GJS6270,1465335900.0,1465344240.0,KBNA,KLGA,CRJ9,Business: Refreshments / Economy: Refreshments,0.0,12.0,64.0
80,AAL2074,,1465345920.0,1465349400.0,KPHL,KLGA,E190,,0.0,0.0,98.0
81,DAL3288,TCF3288,1465342200.0,1465355160.0,KIAH,KLGA,E170,First: Dinner / Economy: Dinner,9.0,0.0,60.0
82,DAL2737,TCF2737,1465315200.0,1465320120.0,KBOS,KLGA,E170,,12.0,0.0,64.0
83,AAL186,,1465318200.0,1465326000.0,KORD,KLGA,B738,First: Lunch / Economy: Food for sale,16.0,0.0,134.0
84,DAL982,,1465325100.0,1465333260.0,KATL,KLGA,B739,First: Refreshments / Economy: No meal,20.0,0.0,160.0
85,JBU432,,1465334400.0,1465344540.0,KSRQ,KLGA,A320,,0.0,0.0,150.0
86,BAW6931,AAL376,1465347000.0,1465357620.0,KMIA,KLGA,B738,First: Refreshments / Economy: No meal,16.0,0.0,134.0
87,DAL2738,TCF2738,1465322400.0,1465327200.0,KBOS,KLGA,E170,,12.0,0.0,64.0
88,AAL4198,LOF4198,1465293000.0,1465298820.0,KGSO,KLGA,E145,,0.0,0.0,50.0
89,AAL4654,RPA4654,1465320420.0,1465331340.0,KMCI,KLGA,E170,First: Lunch / Economy: Food for sale,12.0,0.0,64.0
90,AAL332,,1465315200.0,1465322520.0,KORD,KLGA,B738,First: Lunch / Economy: Food for sale,16.0,0.0,134.0
91,NKS710,,1465344300.0,1465354740.0,KFLL,KLGA,A321,,0.0,0.0,218.0
92,DAL2739,TCF2739,1465329600.0,1465334400.0,KBOS,KLGA,E170,,12.0,0.0,64.0
93,DAL5936,TCF5936,1465306200.0,1465314060.0,KORD,KLGA,E170,First: Breakfast / Economy: Breakfast,12.0,0.0,64.0
94,DAL3396,TCF3396,1465335000.0,1465348320.0,KIAH,KLGA,E170,First: Dinner / Economy: Dinner,9.0,0.0,60.0
95,SWA698,,1465335000.0,1465343400.0,KATL,KLGA,B737,,0.0,0.0,143.0
96,AAL4548,RPA4548,1465299600.0,1465310640.0,KMCI,KLGA,E170,First: Continental Breakfast / Economy: Food for sale,12.0,0.0,64.0
97,DAL3386,TCF3386,1465293600.0,1465299720.0,KCMH,KLGA,E170,,12.0,0.0,64.0
98,DAL3978,FLG3978,1465326960.0,1465337520.0,KMCI,KLGA,CRJ9,Business: Lunch / Economy: Lunch,0.0,12.0,64.0
99,DAL6192,GJS6192,1465342800.0,1465351140.0,KBNA,KLGA,CRJ7,First: Refreshments / Economy: Refreshments,9.0,0.0,56.0
100,DAL3345,TCF3345,1465311240.0,1465324440.0,KIAH,KLGA,E170,First: Lunch / Economy: Lunch,9.0,0.0,60.0
101,DAL2740,TCF2740,1465336800.0,1465342200.0,KBOS,KLGA,E170,,12.0,0.0,64.0
102,WJA6488,FLG3642,1465322400.0,1465329540.0,KCLT,KLGA,CRJ9,,0.0,12.0,64.0
103,DAL2741,TCF2741,1465344000.0,1465348740.0,KBOS,KLGA,E170,,12.0,0.0,64.0
104,LAN8700,AAL2520,1465306440.0,1465317360.0,KMIA,KLGA,B738,First: No meal / Economy: No meal,16.0,0.0,134.0
105,AAL4212,LOF4212,1465297500.0,1465305840.0,KBNA,KLGA,E145,Economy: Food for sale,0.0,0.0,50.0
106,AMX5340,DAL1865,1465349100.0,1465357440.0,KATL,KLGA,B739,,20.0,0.0,160.0
107,DAL3867,FLG3867,1465315620.0,1465325820.0,KMCI,KLGA,CRJ9,Business: Lunch / Economy: Lunch,0.0,12.0,64.0
108,DAL3678,FLG3678,1465297200.0,1465307880.0,KMCI,KLGA,CRJ9,Business: Breakfast / Economy: Breakfast,0.0,12.0,64.0
109,KLM6690,DAL2214,1465296300.0,1465304400.0,KATL,KLGA,MD90,First: Breakfast / Economy: No meal,16.0,0.0,144.0
110,SWA762,,1465324500.0,1465334400.0,KMCI,KLGA,B737,,0.0,0.0,143.0
111,DAL4066,FLG4066,1465297200.0,1465305420.0,KMKE,KLGA,CRJ9,Business: Refreshments / Economy: Refreshments,0.0,12.0,64.0
112,AAL4205,LOF4205,1465314060.0,1465322340.0,KBNA,KLGA,E145,Economy: Food for sale,0.0,0.0,50.0
113,WJA7044,ASQ5386,1465294500.0,1465299660.0,KRIC,KLGA,CRJ7,,9.0,0.0,56.0
114,WJA6938,GJS6229,1465342500.0,1465353120.0,KMCI,KLGA,CRJ7,,9.0,0.0,56.0
115,WJA6356,DAL2214,1465296300.0,1465304400.0,KATL,KLGA,MD90,,16.0,0.0,144.0
116,DAL3825,FLG3825,1465299600.0,1465312440.0,KIAH,KLGA,CRJ9,Business: Breakfast / Economy: Breakfast,0.0,12.0,64.0
117,AAL4206,LOF4206,1465343160.0,1465351620.0,KBNA,KLGA,E145,Economy: Food for sale,0.0,0.0,50.0
118,AAL380,,1465311300.0,1465318920.0,KORD,KLGA,B738,First: Lunch / Economy: Food for sale,16.0,0.0,134.0
119,WJA6705,DAL1865,1465349100.0,1465357440.0,KATL,KLGA,B739,,20.0,0.0,160.0
120,WJA6328,FLG3840,1465305300.0,1465312680.0,KCLT,KLGA,CRJ9,,0.0,12.0,64.0
121,UAL1777,,1465343640.0,1465356180.0,KIAH,KLGA,A320,First: Dinner / Economy: Food for sale,12.0,0.0,138.0
122,UAL8180,SKV7630,1465296300.0,1465301400.0,CYUL,KLGA,E170,Business: Breakfast / Economy: No meal,0.0,9.0,64.0
123,WJA6651,FLG3978,1465326960.0,1465337520.0,KMCI,KLGA,CRJ9,,0.0,12.0,64.0
124,UAL8182,SKV7632,1465303800.0,1465308840.0,CYUL,KLGA,E170,Business: Breakfast / Economy: No meal,0.0,9.0,64.0
125,AAL1169,,1465314600.0,1465327320.0,KDFW,KLGA,,,10.0,20.0,72.0
126,WJA7228,FLG3867,1465315620.0,1465325820.0,KMCI,KLGA,CRJ9,,0.0,12.0,64.0
127,WJA6932,TCF3339,1465293600.0,1465301160.0,KIND,KLGA,E170,,9.0,0.0,60.0
128,UAL1958,,1465332960.0,1465345560.0,KIAH,KLGA,A320,First: Lunch / Economy: Food for sale,12.0,0.0,138.0
129,WJA6936,FLG3678,1465297200.0,1465307880.0,KMCI,KLGA,CRJ9,,0.0,12.0,64.0
