terminal,zipcode,passenger_count,trip_distance,duration,total_ex_tip,N
A,83,1.50909090909,8.88254545455,1778.12727273,0.0,55
A,10001,1.67515923567,9.67369426752,2772.3566879,0.0,157
A,10002,1.74193548387,9.19451612903,1498.32258065,0.0,31
A,10003,1.66847826087,9.74744565217,1902.22826087,0.0,184
A,10005,1.43333333333,12.6975,2261.7,0.0,60
A,10006,1.94736842105,13.5805263158,2317.57894737,0.0,19
A,10007,1.57627118644,12.3440677966,2222.05084746,0.0,59
A,10009,1.79245283019,10.0458490566,1736.64150943,0.0,53
A,10010,1.5652173913,9.08137681159,1799.89855072,0.0,138
A,10011,1.46913580247,10.0188271605,2156.25308642,0.0,162
A,10012,1.59649122807,10.1729824561,2046.78947368,0.0,57
A,10013,1.43243243243,11.717027027,2372.08108108,0.0,74
A,10014,1.50602409639,10.7748192771,2283.6626506,0.0,83
A,10016,1.77941176471,8.58400735294,1578.01838235,0.0,272
A,10017,1.74257425743,9.19356435644,1760.00594059,0.0,505
A,10018,1.87931034483,9.53189655172,2197.56034483,0.0,116
A,10019,1.6847826087,9.91686594203,2471.29710145,0.0,552
A,10020,2.0,9.54333333333,2179.8,0.0,15
A,10021,1.68020304569,8.39812182741,1491.13705584,0.0,197
A,10022,1.59275053305,9.08262260128,1950.88059701,0.0,469
A,10023,1.56115107914,9.77669064748,2084.23741007,0.0,139
A,10024,1.72357723577,9.08008130081,1748.15447154,0.0,123
A,10025,1.53947368421,8.27138157895,1689.43421053,0.0,152
A,10026,1.54545454545,6.52363636364,1227.63636364,0.0,11
A,10027,1.28,7.496,1790.24,0.0,25
A,10028,1.67065868263,7.84832335329,1378.08383234,0.0,167
A,10029,1.48837209302,6.88651162791,1202.25581395,0.0,43
A,10030,1.0,7.1,1118.0,0.0,1
A,10031,1.2,7.926,1414.8,0.0,5
A,10032,1.0,10.1128571429,1862.14285714,0.0,7
A,10036,1.75320512821,10.2269871795,2789.13461538,0.0,312
A,10037,2.33333333333,7.29,1189.33333333,0.0,3
A,10038,1.6393442623,12.5906557377,2231.24590164,0.0,61
A,10039,2.0,6.7,813.0,0.0,1
A,10041,1.0,12.08,2142.0,0.0,1
A,10043,1.0,12.5,2038.0,0.0,1
A,10048,1.25,12.33875,2230.0,0.0,8
A,10055,1.0,9.6,1800.0,0.0,1
A,10065,1.7987012987,8.62688311688,1548.0,0.0,154
A,10069,1.78571428571,10.3035714286,2048.42857143,0.0,14
A,10075,1.77108433735,7.86120481928,1362.09638554,0.0,83
A,10096,2.0,8.77,2102.0,0.0,1
A,10097,1.0,9.155,2238.0,0.0,2
A,10103,1.0,8.79,2187.0,0.0,1
A,10104,1.0,9.21333333333,1920.33333333,0.0,3
A,10105,1.625,9.23375,2831.625,0.0,8
A,10107,1.0,10.6,1571.0,0.0,1
A,10110,2.0,8.5,1854.0,0.0,1
A,10111,5.0,8.31,1218.0,0.0,1
A,10112,1.375,10.6625,2479.25,0.0,8
A,10119,2.0,9.45,2125.5,0.0,2
A,10121,1.0,10.8066666667,1902.66666667,0.0,3
A,10128,1.55801104972,7.44464088398,1253.99447514,0.0,181
A,10151,1.0,11.6,2819.0,0.0,1
A,10152,1.44444444444,8.36555555556,2217.0,0.0,9
A,10153,2.0,8.79,2349.5,0.0,2
A,10154,1.57142857143,9.99142857143,2161.14285714,0.0,7
A,10162,5.0,7.79,1177.0,0.0,1
A,10166,1.66666666667,12.0766666667,2582.66666667,0.0,3
A,10167,2.42857142857,9.24571428571,2130.85714286,0.0,7
A,10168,1.75,10.125,1488.5,0.0,4
A,10169,1.0,9.6125,2168.25,0.0,4
A,10170,1.0,9.46,1968.25,0.0,4
A,10171,1.0,9.12666666667,1740.0,0.0,3
A,10172,2.14285714286,9.46285714286,1966.71428571,0.0,7
A,10173,1.0,8.7,2090.0,0.0,1
A,10174,1.28571428571,8.73142857143,1610.42857143,0.0,7
A,10178,1.0,8.025,1180.5,0.0,2
A,10203,1.0,14.42,1642.0,0.0,1
A,10280,1.71875,14.165625,2694.0,0.0,32
A,10281,1.24,13.7148,2309.16,0.0,25
A,10282,1.6976744186,14.0413953488,2446.0,0.0,43
A,10285,1.0,15.95,2869.5,0.0,2
A,10458,1.0,8.0,1176.0,0.0,1
A,10468,2.0,10.82,1467.0,0.0,1
A,10475,2.0,11.27,50132.0,0.0,1
A,11101,1.83333333333,5.11071428571,1366.88095238,0.0,42
A,11102,1.07692307692,2.52307692308,631.384615385,0.0,13
A,11103,1.2,2.402,555.3,0.0,10
A,11104,1.25,4.0925,1197.25,0.0,4
A,11105,1.25,2.19125,525.0,0.0,8
A,11106,1.55555555556,2.97611111111,775.833333333,0.0,18
A,11109,1.83333333333,6.77166666667,864.166666667,0.0,6
A,11201,1.48837209302,9.75860465116,1605.76744186,0.0,43
A,11206,1.0,7.4,1534.0,0.0,1
A,11211,1.66666666667,7.35555555556,1825.77777778,0.0,9
A,11215,2.0,11.5242857143,1680.14285714,0.0,7
A,11216,1.0,8.92,1222.0,0.0,1
A,11217,1.44444444444,10.2411111111,1878.33333333,0.0,9
A,11222,2.33333333333,8.53666666667,1915.33333333,0.0,3
A,11238,1.0,9.5,1720.0,0.0,1
A,11249,1.0,6.85,1736.0,0.0,1
A,11354,1.0,0.0,555.0,0.0,1
A,11369,1.58333333333,1.48916666667,308.416666667,0.0,12
A,11371,1.5652173913,2.51310559006,477.965838509,0.0,322
A,11372,1.25,2.375,573.083333333,0.0,12
A,11373,1.0,2.83666666667,718.666666667,0.0,3
A,11375,1.0,6.25,765.0,0.0,1
A,11377,1.2,3.36933333333,754.133333333,0.0,15
A,11426,5.0,12.585,1010.0,0.0,2
A,11430,1.77669902913,12.7786407767,1820.19417476,0.0,103
A,11432,1.0,7.85,986.5,0.0,2
A,11434,1.0,12.24,3000.0,0.0,1
A,11435,1.0,6.98,915.0,0.0,1
A,,1.55855855856,8.76837837838,1646.03603604,0.0,111
B,83,1.79680851064,9.55225531915,2026.05744681,0.0,940
B,10001,1.73489010989,9.88878571429,2078.19835165,0.0,3640
B,10002,1.65678627145,9.93583463339,1594.26053042,0.0,641
B,10003,1.62307692308,10.1012307692,1824.27730769,0.0,2600
B,10005,1.65158371041,13.0479751131,2032.94909502,0.0,884
B,10006,1.64801864802,13.7754545455,2123.63636364,0.0,429
B,10007,1.61745689655,13.1269181034,2298.35021552,0.0,928
B,10009,1.70010341262,10.0976628749,1553.69700103,0.0,967
B,10010,1.68367862557,9.57159676604,1742.87822132,0.0,1979
B,10011,1.7273960217,10.6727893309,2246.35533454,0.0,2212
B,10012,1.61172901921,10.6234277048,1871.36400404,0.0,989
B,10013,1.58914728682,11.8261310782,2150.96053559,0.0,1419
B,10014,1.60805258833,11.4171980279,2259.50287592,0.0,1217
B,10016,1.7227663402,9.05244853088,1513.04137517,0.0,5003
B,10017,1.7137599094,9.66348527746,1669.49943375,0.0,7064
B,10018,1.77794381351,9.88156604901,1960.97638972,0.0,3346
B,10019,1.76612903226,10.3001140156,2190.28383389,0.0,10788
B,10020,1.54404145078,10.170880829,2143.66839378,0.0,193
B,10021,1.71220492215,8.7167604219,1557.05123054,0.0,1991
B,10022,1.71138452416,9.52507115328,1714.98932701,0.0,6746
B,10023,1.64240254574,10.2460063644,2101.00517104,0.0,2514
B,10024,1.69962182604,9.58902215019,1861.49540789,0.0,1851
B,10025,1.76706827309,8.68324153758,1645.27251865,0.0,1743
B,10026,1.64,7.31788571429,1193.11428571,0.0,175
B,10027,1.69712793734,7.56772845953,1640.38120104,0.0,383
B,10028,1.64277715566,8.16520716685,1313.50615901,0.0,1786
B,10029,1.72406639004,7.48060165975,1079.25518672,0.0,482
B,10030,1.58974358974,7.3558974359,1144.23076923,0.0,39
B,10031,1.76153846154,8.17007692308,1360.62307692,0.0,130
B,10032,1.475,9.5115,2575.725,0.0,80
B,10033,1.35483870968,9.75193548387,1456.83870968,0.0,31
B,10034,1.125,11.05875,1502.75,0.0,8
B,10035,1.1,8.344,1361.1,0.0,10
B,10036,1.83695217797,10.5436139603,2126.35686692,0.0,7507
B,10037,1.52777777778,6.86972222222,1123.11111111,0.0,36
B,10038,1.62079062958,12.5907027818,2111.00585652,0.0,683
B,10039,1.84615384615,7.98461538462,1002.84615385,0.0,13
B,10040,1.33333333333,10.2966666667,1447.33333333,0.0,3
B,10041,1.83333333333,13.3645833333,2163.58333333,0.0,24
B,10043,3.0,13.308,1826.2,0.0,5
B,10044,1.35714285714,6.11214285714,1021.35714286,0.0,14
B,10045,1.41666666667,12.7808333333,2149.66666667,0.0,12
B,10048,1.77868852459,13.7459016393,2202.97540984,0.0,122
B,10055,1.76923076923,9.77615384615,1638.23076923,0.0,13
B,10065,1.65547785548,9.05842424242,1515.49370629,0.0,2145
B,10069,1.64161849711,10.6201156069,2463.43352601,0.0,173
B,10075,1.65237543453,8.4190382387,1255.96523754,0.0,863
B,10096,1.5,9.56285714286,2001.35714286,0.0,14
B,10097,1.95833333333,10.5604166667,2248.83333333,0.0,48
B,10103,2.33333333333,9.83,2056.88888889,0.0,18
B,10104,2.18181818182,10.2167272727,1970.8,0.0,55
B,10105,1.83333333333,9.98522222222,2088.32222222,0.0,90
B,10106,1.69444444444,10.1816666667,4394.11111111,0.0,36
B,10107,1.58333333333,10.0566666667,2322.66666667,0.0,12
B,10110,1.4,9.977,1913.3,0.0,10
B,10111,1.74137931034,10.1825862069,2090.06896552,0.0,58
B,10112,1.62711864407,9.84152542373,2249.71186441,0.0,59
B,10115,1.0,7.605,1991.75,0.0,4
B,10118,1.52173913043,9.16869565217,1943.43478261,0.0,23
B,10119,2.30434782609,10.187826087,2140.0,0.0,23
B,10120,1.0,8.8,2161.0,0.0,1
B,10121,1.70935960591,10.1085714286,1983.91625616,0.0,203
B,10122,2.33333333333,9.33666666667,1763.33333333,0.0,3
B,10123,2.33333333333,9.68333333333,2457.66666667,0.0,3
B,10128,1.67821067821,7.80502645503,1120.84800385,0.0,2079
B,10151,1.0,10.1671428571,2499.85714286,0.0,7
B,10152,1.66666666667,9.48411764706,1934.96078431,0.0,51
B,10153,1.6,9.2844,1881.08,0.0,25
B,10154,1.89411764706,9.66952941176,2689.87058824,0.0,85
