terminal,zipcode,passenger_count,trip_distance,duration,total_ex_tip,N
A,83,1.84615384615,9.06276923077,3602.01538462,0.0,65
A,10001,1.71314741036,9.3506374502,2634.25099602,0.0,251
A,10002,1.46913580247,9.31012345679,2365.54320988,0.0,81
A,10003,1.6511627907,9.57799418605,2316.09011628,0.0,344
A,10005,1.57291666667,13.4507291667,2415.29166667,0.0,96
A,10006,1.41509433962,13.7775471698,2436.01886792,0.0,53
A,10007,1.56153846154,13.7126153846,2580.56153846,0.0,130
A,10009,1.35483870968,9.54862903226,1815.91935484,0.0,124
A,10010,1.71904761905,9.30242857143,1963.49047619,0.0,210
A,10011,1.71544715447,9.94796747967,2325.99593496,0.0,246
A,10012,1.65354330709,10.464488189,2876.02362205,0.0,127
A,10013,1.57591623037,11.4559685864,2461.60732984,0.0,191
A,10014,1.65068493151,10.5434246575,2461.71232877,0.0,146
A,10016,1.59922178988,8.53762645914,1817.307393,0.0,514
A,10017,1.55322128852,9.20858543417,2153.03921569,0.0,714
A,10018,1.64018691589,9.22677570093,2537.95794393,0.0,214
A,10019,1.70263157895,9.99606578947,2805.525,0.0,760
A,10020,1.21951219512,10.4295121951,2604.56097561,0.0,41
A,10021,1.56175298805,8.32892430279,1745.45816733,0.0,251
A,10022,1.61549295775,9.28622535211,2165.18169014,0.0,710
A,10023,1.61254612546,9.71955719557,2270.5904059,0.0,271
A,10024,1.60986547085,9.02426008969,1998.08520179,0.0,223
A,10025,1.71217712177,8.28841328413,1792.33579336,0.0,271
A,10026,1.7868852459,6.9193442623,1531.93442623,0.0,61
A,10027,1.675,6.85725,1494.6375,0.0,80
A,10028,1.64761904762,7.66323809524,1498.02857143,0.0,210
A,10029,1.50515463918,7.02216494845,1359.67010309,0.0,97
A,10030,1.58333333333,7.735,1582.41666667,0.0,12
A,10031,1.43333333333,8.27933333333,1879.73333333,0.0,30
A,10032,1.61290322581,9.02580645161,1842.22580645,0.0,31
A,10033,1.51612903226,9.60806451613,1750.61290323,0.0,31
A,10034,1.23076923077,10.3146153846,1632.15384615,0.0,13
A,10035,1.0,6.5,1083.0,0.0,1
A,10036,1.68490566038,9.84354716981,2646.41132075,0.0,530
A,10037,1.18181818182,6.64636363636,1507.54545455,0.0,11
A,10038,1.66371681416,12.8518584071,2330.92035398,0.0,113
A,10039,2.0,9.07333333333,1928.11111111,0.0,9
A,10040,1.29411764706,9.93,1861.52941176,0.0,17
A,10041,1.0,14.2,1403.0,0.0,1
A,10043,1.0,14.34,1478.0,0.0,1
A,10044,1.93333333333,5.248,1476.6,0.0,15
A,10045,5.0,11.96,2390.0,0.0,1
A,10048,1.8,14.668,2949.6,0.0,5
A,10055,1.33333333333,11.3666666667,2872.66666667,0.0,3
A,10065,1.54183266932,8.5903187251,1949.52589641,0.0,251
A,10069,1.8125,10.435,2297.75,0.0,32
A,10075,1.61403508772,7.89412280702,1570.31578947,0.0,114
A,10096,1.0,8.1,2639.0,0.0,1
A,10097,1.83333333333,10.465,2494.83333333,0.0,6
A,10103,1.5,9.7725,2440.5,0.0,4
A,10104,1.25,10.1875,2883.0,0.0,4
A,10105,1.6,8.442,2621.6,0.0,5
A,10107,1.5,14.205,2795.0,0.0,2
A,10111,1.375,8.95875,2475.625,0.0,8
A,10112,1.45454545455,11.1372727273,2746.45454545,0.0,11
A,10119,1.0,8.71333333333,2981.33333333,0.0,3
A,10121,1.83333333333,9.23666666667,2080.5,0.0,6
A,10123,3.0,8.2,2111.0,0.0,1
A,10128,1.54316546763,7.44064748201,1431.12230216,0.0,278
A,10152,1.0,8.625,1877.25,0.0,4
A,10154,1.25,10.08875,2150.625,0.0,8
A,10165,1.0,8.4,2106.75,0.0,4
A,10166,1.25,8.4525,2036.0,0.0,4
A,10167,1.77777777778,9.36666666667,2139.88888889,0.0,9
A,10168,1.0,7.8,1407.6,0.0,5
A,10169,1.0,12.1,1684.0,0.0,1
A,10170,1.0,8.96,2519.5,0.0,2
A,10171,1.0,9.9,1545.0,0.0,1
A,10172,1.33333333333,9.09333333333,2070.5,0.0,6
A,10173,1.0,7.92,4090.0,0.0,1
A,10174,1.2,8.72,1582.0,0.0,5
A,10176,6.0,8.83,4644.0,0.0,1
A,10178,2.25,8.3925,3318.5,0.0,4
A,10203,1.0,13.07,3608.5,0.0,2
A,10280,1.81818181818,13.9624242424,2383.48484848,0.0,66
A,10281,1.5,14.6883333333,2477.72222222,0.0,18
A,10282,1.65625,13.98828125,2460.1875,0.0,64
A,10285,3.0,16.505,2285.5,0.0,2
A,10302,1.0,26.3,4216.0,0.0,1
A,10304,1.0,21.5,2416.0,0.0,1
A,10312,6.0,30.27,5202.0,0.0,1
A,10314,6.0,24.54,3355.0,0.0,1
A,10451,1.0,6.97,1785.0,0.0,4
A,10452,2.5,8.35,2385.0,0.0,2
A,10453,1.0,9.35,1451.5,0.0,2
A,10454,2.0,5.78888888889,2539.0,0.0,9
A,10455,1.0,6.665,1645.5,0.0,2
A,10456,2.0,8.94666666667,1401.33333333,0.0,3
A,10457,1.0,9.9,1911.0,0.0,3
A,10458,1.0,12.1033333333,1677.33333333,0.0,3
A,10459,1.0,6.5,2531.0,0.0,1
