zipcode,taxi_mean_pickup_longitude,taxi_mean_pickup_latitude,taxi_mean_trip_distance,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,route,driving_distance,duration_in_traffic,driving_duration,transit_duration
83,-73.97153436,40.77472234,18.57320577,2669.381864,56.12003605,66.75804397,3606,Grand Central Pkwy,22.38302616,3120,3067,4449
10001,-73.99199325,40.74836171,17.238983,2782.836983,57.39998325,68.28061554,15526,I-495 E and I-678 S,17.75008399,2732,2363,3001
10002,-73.98942872,40.71941844,17.40059967,2386.740923,53.1804193,63.26119903,4269,I-678 S,18.10861505,2468,2400,4355
10003,-73.98867643,40.73220258,17.52427221,2568.231598,56.1840194,66.83415588,12064,I-495 E and I-678 S,17.94581585,2625,2306,4223
10005,-74.00815377,40.70566399,19.81752423,2738.125606,54.32327948,64.62069762,2476,Belt Pkwy,28.77072004,2919,2745,4239
10006,-74.01328981,40.70884321,20.92561492,2945.059476,54.49854839,64.82919017,992,Belt Pkwy,28.31028413,2863,2717,4267
10007,-74.00918589,40.71364787,19.71915066,2829.967134,53.77242245,63.96542118,2708,Belt Pkwy,28.5638035,2941,2787,3827
10009,-73.98174567,40.72735333,17.60878025,2407.696526,55.33725605,65.82688167,5124,I-495 E and I-678 S,18.11669288,2727,2398,4734
10010,-73.98484409,40.73975448,17.02806239,2518.953476,57.38734167,68.26557765,7437,I-495 E and I-678 S,17.48165171,2478,2146,4001
10011,-73.99933195,40.74062426,18.0158923,2849.467305,57.01728867,67.82537809,11179,I-495 E and I-678 S,18.69643202,3070,2707,3650
10012,-73.99771193,40.72533707,17.89190681,2720.099553,53.72203061,63.90547715,5816,I-678 S,18.60198363,2748,2648,4351
10013,-74.00456421,40.72115889,18.6724157,2835.634733,53.47967351,63.6171793,6524,I-678 S,18.80641469,2813,2712,4331
10014,-74.00530983,40.73527561,18.8675127,2980.68974,55.7357147,66.30087139,6891,I-495 E and I-678 S,18.99655421,3187,2842,4340
10016,-73.97946284,40.74613722,16.37643817,2274.431405,57.49748722,68.39660218,21124,I-495 E and I-678 S,16.90501943,2294,1945,4010
10017,-73.97396739,40.75278105,16.79939338,2411.271859,57.31449117,68.17891774,20095,I-495 E and I-678 S,17.29959001,2485,2104,3734
10018,-73.98925566,40.75378166,17.13209119,2699.72888,57.43263869,68.31946108,11032,I-495 E and I-678 S,17.60281906,2617,2261,3280
10019,-73.98176927,40.76367138,17.90852555,2872.741365,56.06781494,66.69592392,33816,I-495 E and I-678 S,18.36275579,2992,2581,3485
10020,-73.97893329,40.75879975,17.42575816,2892.213052,56.63074856,67.36556618,521,I-495 E and I-678 S,18.13036304,2908,2508,3627
10021,-73.95835458,40.76992951,18.99695869,2384.48658,56.86778046,67.64752939,6632,Grand Central Pkwy and I-678 S,19.93296031,2452,2422,4117
10022,-73.97035437,40.75845981,17.10824757,2458.10302,55.99430299,66.60847718,18443,I-495 E and I-678 S,17.66371342,2634,2194,3221
10023,-73.98193424,40.77537539,19.82008784,2892.336298,56.37854246,67.06555236,9221,Grand Central Pkwy,22.12639994,3078,2963,4472
10024,-73.97606422,40.78568699,20.21723229,2714.068144,57.34843792,68.21929938,6677,Grand Central Pkwy and I-678 S,20.64629422,2885,2722,4507
10025,-73.96807159,40.79755562,19.42731972,2556.325493,57.5689831,68.48165068,7100,Grand Central Pkwy and I-678 S,20.50275752,2797,2648,4596
10026,-73.95421194,40.80292062,18.23428021,2236.841902,57.73731362,68.68188962,778,Grand Central Pkwy and I-678 S,18.49635056,2486,2470,4643
10027,-73.95672913,40.8104641,18.31506925,2392.561773,57.57987258,68.49460435,1805,Grand Central Pkwy and I-678 S,18.52493362,2612,2578,4485
10028,-73.9530704,40.77660074,18.85839015,2209.98126,57.401335,68.28222352,5603,Grand Central Pkwy and I-678 S,19.15811067,2235,2197,4186
10029,-73.94737673,40.78920642,18.16930985,2030.271718,57.53473938,68.44091579,2072,Grand Central Pkwy and I-678 S,18.47211709,2339,2331,4385
10030,-73.94276483,40.81716611,18.13491667,2065.808333,57.28108333,68.13917718,120,Grand Central Pkwy and I-678 S,18.71569452,2346,2215,4927
10031,-73.95132713,40.82416485,18.96198257,2379.235294,57.69283224,68.62897643,459,Grand Central Pkwy and I-678 S,20.22686879,2541,2440,5017
10032,-73.9424943,40.83777733,20.21110345,2334.275862,57.59155172,68.50849737,290,Grand Central Pkwy and I-678 S,20.00503935,2468,2350,4778
10033,-73.93739442,40.84933473,20.70642857,2322.214286,57.95285714,68.93829116,84,I-678 S,21.04645714,2526,2340,4860
10034,-73.92214589,40.86759604,21.88678571,2234.821429,57.83,68.79214545,28,Grand Central Pkwy,22.03133018,2553,2414,5341
10035,-73.92435761,40.79498928,16.30275862,1760.855172,57.71062069,68.65013682,145,I-678 S,20.61149744,2243,2111,5760
10036,-73.98725145,40.75847539,17.6506841,2814.761101,57.19943749,68.04205471,22453,I-495 E and I-678 S,18.24407393,3026,2653,3903
10037,-73.9383217,40.81280346,17.77271028,1875.401869,57.54962617,68.45862449,107,Grand Central Pkwy and I-678 S,18.24531667,2251,2057,4964
10038,-74.00520422,40.70852477,19.2266559,2629.521809,53.79459612,63.99179805,2476,I-495 E and I-678 S,20.77429664,3010,2475,3944
10039,-73.93958455,40.82437043,18.62818182,2045.022727,57.73136364,68.67481177,44,Grand Central Pkwy and I-678 S,19.42032923,2305,2191,4987
10040,-73.9304319,40.85819648,21.5883871,2141.580645,58.04483871,69.04770858,31,I-678 S,21.31178256,2650,2484,5273
10041,-74.00926539,40.70344935,19.755,3238.814815,54.37537037,64.68266276,54,Belt Pkwy,28.63898939,2845,2657,4434
10043,-74.00705343,40.70430143,20.11190476,2519.142857,55.03809524,65.4710125,21,Belt Pkwy,28.65576641,2837,2655,4360
10044,-73.95043622,40.76128856,15.81127273,2120.2,51.842,61.66907149,55,Grand Central Pkwy and I-678 S,16.62105288,2321,2280,3301
10045,-74.00852221,40.70821031,20.33103448,2819.62069,55.13655172,65.58813221,29,Belt Pkwy,29.02361804,3011,2822,3953
10047,-73.98641467,40.73949267,17.01666667,1981.666667,57.83,68.79214545,3,I-495 E and I-678 S,17.59784809,2548,2218,4015
10048,-74.01180487,40.71146868,20.72460377,2803.875472,54.41822642,64.73364252,265,Belt Pkwy,28.75829262,3031,2873,4258
10055,-73.97367749,40.75905009,17.01542857,2342.8,56.45942857,67.16177109,35,I-495 E and I-678 S,17.73827794,2665,2249,3532
