ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	VISITOR	BUSINESS	LOWINC	SELF_TT	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
0	1	60.0	66.69592392	58.0833333333	1.0	0	0	60.0	7.75	0	1	1	1	1
1	1	45.0	66.69592392	58.0833333333	1.0	0	0	45.0	7.75	0	1	1	1	1
2	1	25.0	66.69592392	58.0833333333	1.0	0	0	25.0	7.75	0	1	1	1	1
3	1	35.0	66.69592392	58.0833333333	1.0	0	0	35.0	7.75	0	1	1	1	1
4	1	60.0	66.69592392	58.0833333333	1.0	0	1	60.0	7.75	0	1	1	1	1
5	1	45.0	66.69592392	58.0833333333	1.0	1	0	45.0	7.75	0	1	1	1	1
6	1	80.0	68.52328677	72.2166666667	0.0	0	0	80.0	7.75	0	1	1	1	1
7	1	40.0	68.52328677	72.2166666667	0.0	1	0	40.0	7.75	0	1	1	1	1
8	1	35.0	68.52328677	72.2166666667	0.0	1	0	35.0	7.75	0	1	1	1	1
9	1	20.0	46.05232605	64.05	0.0	0	0	20.0	7.75	0	1	1	1	1
10	1	38.7	67.82537809	60.8333333333	1.0	0	0	38.7	7.75	0	1	1	1	1
11	1	60.0	67.82537809	60.8333333333	1.0	1	0	60.0	7.75	0	1	1	1	1
12	1	30.0	68.17891774	62.2333333333	0.0	1	0	30.0	7.75	0	1	1	1	1
13	1	15.0	68.17891774	62.2333333333	0.0	0	0	15.0	7.75	0	1	1	1	1
14	1	90.0	67.06555236	74.5333333333	0.0	0	0	90.0	7.75	0	1	1	1	1
15	1	50.0	63.90547715	72.5166666667	0.0	0	0	50.0	7.75	0	1	1	1	1
16	1	40.0	63.90547715	72.5166666667	0.0	1	1	40.0	7.75	0	1	1	1	1
17	1	70.0	63.90547715	72.5166666667	1.0	0	0	70.0	7.75	0	1	1	1	1
18	1	120.0	42.94517164	65.5333333333	1.0	0	0	120.0	7.75	0	1	1	1	1
19	1	38.7	68.21929938	75.1166666667	1.0	0	0	38.7	7.75	0	1	1	1	1
20	1	70.0	68.21929938	75.1166666667	1.0	0	0	70.0	7.75	0	1	1	1	1
21	1	75.0	66.60847718	53.6833333333	0.0	0	0	75.0	7.75	0	1	1	1	1
22	1	30.0	66.60847718	53.6833333333	1.0	0	0	30.0	7.75	0	1	1	1	1
23	1	55.0	66.60847718	53.6833333333	0.0	0	0	55.0	7.75	0	1	1	1	1
24	1	55.0	68.39660218	66.8333333333	1.0	0	0	55.0	7.75	0	1	1	1	1
25	1	30.0	68.39660218	66.8333333333	1.0	1	0	30.0	7.75	0	1	1	1	1
26	1	60.0	64.82919017	71.1166666667	0.0	0	0	60.0	7.75	0	1	1	1	1
27	1	60.0	48.90327895	58.7666666667	0.0	0	0	60.0	7.75	0	1	1	1	1
28	1	37.0	60.25857119	55.1333333333	0.0	1	0	37.0	7.75	0	1	1	1	1
29	1	55.0	60.25857119	55.1333333333	0.0	0	0	55.0	7.75	0	1	1	1	1
30	1	60.0	60.25857119	55.1333333333	1.0	0	0	60.0	7.75	0	1	1	1	1
31	1	38.7	60.25857119	55.1333333333	0.0	0	1	38.7	7.75	0	1	1	1	1
32	1	30.0	66.83415588	70.3833333333	0.0	0	0	30.0	7.75	0	1	1	1	1
33	1	60.0	66.83415588	70.3833333333	1.0	0	1	60.0	7.75	0	1	1	1	1
34	1	45.0	66.83415588	70.3833333333	1.0	1	0	45.0	7.75	0	1	1	1	1
35	1	38.7	66.83415588	70.3833333333	0.0	0	0	38.7	7.75	0	1	1	1	1
36	1	38.7	66.83415588	70.3833333333	1.0	1	0	38.7	7.75	0	1	1	1	1
37	1	25.0	68.44091579	73.0833333333	0.0	0	1	25.0	7.75	0	1	1	1	1
38	1	60.0	68.04205471	65.05	0.0	1	0	60.0	7.75	0	1	1	1	1
39	1	45.0	68.04205471	65.05	1.0	0	1	45.0	7.75	0	1	1	1	1
40	1	60.0	68.49460435	74.75	0.0	0	1	60.0	7.75	0	1	1	1	1
41	1	60.0	68.49460435	74.75	0.0	0	0	60.0	7.75	0	1	1	1	1
42	1	30.0	52.32345148	64.75	1.0	0	0	30.0	7.75	0	1	1	1	1
43	1	38.7	68.28061554	50.0166666667	0.0	1	0	38.7	7.75	0	1	1	1	1
44	1	45.0	52.9011677	66.5	1.0	1	0	45.0	7.75	0	1	1	1	1
45	1	32.0	47.06751005	75.9333333333	0.0	0	0	32.0	7.75	0	1	1	1	1
46	1	25.0	47.06751005	75.9333333333	1.0	0	0	25.0	7.75	0	1	1	1	1
47	1	50.0	63.6171793	72.1833333333	0.0	1	0	50.0	7.75	0	1	1	1	1
48	1	38.7	63.6171793	72.1833333333	1.0	1	0	38.7	7.75	0	1	1	1	1
49	1	30.0	44.50614743	60.3	0.0	0	0	30.0	7.75	0	1	1	1	1
50	1	38.0	44.50614743	60.3	0.0	0	1	38.0	7.75	0	1	1	1	1
51	1	30.0	37.59233862	50.5333333333	0.0	0	0	30.0	7.75	0	1	1	1	1
52	1	38.7	63.26119903	72.5833333333	1.0	1	0	38.7	7.75	0	1	1	1	1
53	1	60.0	33.01023753	71.2833333333	0.0	1	0	60.0	7.75	0	1	1	1	1
54	1	20.0	63.71749056	52.9833333333	0.0	0	0	20.0	7.75	0	1	1	1	1
55	1	12.0	63.71749056	52.9833333333	0.0	0	1	12.0	7.75	0	1	1	1	1
56	1	38.7	40.04845634	67.3166666667	1.0	0	1	38.7	7.75	0	1	1	1	1
