ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	VISITOR	BUSINESS	LOWINC	SELF_TT	TAXI_DIST	TRANSIT_COST	FREE_COST	av1	av2	av3	av4	HYPERP
0	1	60.0	66.69592392	58.0833333333	1.0	0	0	60.0	17.90852555	7.75	0	1	1	1	0	-30.7543950887
1	1	45.0	66.69592392	58.0833333333	1.0	0	0	45.0	17.90852555	7.75	0	1	1	1	0	4.50542093656
2	1	25.0	66.69592392	58.0833333333	1.0	0	0	25.0	17.90852555	7.75	0	1	1	1	0	1.7817407734
3	1	35.0	66.69592392	58.0833333333	1.0	0	0	35.0	17.90852555	7.75	0	1	1	1	0	2.55361403264
4	1	60.0	66.69592392	58.0833333333	1.0	0	1	60.0	17.90852555	7.75	0	1	1	1	0	-30.7543950887
5	1	45.0	66.69592392	58.0833333333	1.0	1	0	45.0	17.90852555	7.75	0	1	1	1	0	4.50542093656
6	1	80.0	68.52328677	72.2166666667	0.0	0	0	80.0	18.58254072	7.75	0	1	1	1	0	-7.80813106253
7	1	40.0	68.52328677	72.2166666667	0.0	1	0	40.0	18.58254072	7.75	0	1	1	1	0	1.88639276058
8	1	35.0	68.52328677	72.2166666667	0.0	1	0	35.0	18.58254072	7.75	0	1	1	1	0	1.63295889216
9	1	20.0	46.05232605	64.05	0.0	0	0	20.0	11.7352381	7.75	0	1	1	1	0	0.869519320091
10	1	38.7	67.82537809	60.8333333333	1.0	0	0	38.7	18.0158923	7.75	0	1	1	1	0	2.71424901009
11	1	60.0	67.82537809	60.8333333333	1.0	1	0	60.0	18.0158923	7.75	0	1	1	1	0	72.090453708
12	1	30.0	68.17891774	62.2333333333	0.0	1	0	30.0	16.79939338	7.75	0	1	1	1	0	1.87473374581
13	1	15.0	68.17891774	62.2333333333	0.0	0	0	15.0	16.79939338	7.75	0	1	1	1	0	1.27937017092
14	1	90.0	67.06555236	74.5333333333	0.0	0	0	90.0	19.82008784	7.75	0	1	1	1	0	-3.83505726466
15	1	50.0	63.90547715	72.5166666667	0.0	0	0	50.0	17.89190681	7.75	0	1	1	1	0	2.49395161288
16	1	40.0	63.90547715	72.5166666667	0.0	1	1	40.0	17.89190681	7.75	0	1	1	1	0	1.72697520707
17	1	70.0	63.90547715	72.5166666667	1.0	0	0	70.0	17.89190681	7.75	0	1	1	1	0	22.3134346291
18	1	120.0	42.94517164	65.5333333333	1.0	0	0	120.0	12.33195248	7.75	0	1	1	1	0	-0.646178181885
19	1	38.7	68.21929938	75.1166666667	1.0	0	0	38.7	20.21723229	7.75	0	1	1	1	0	1.6604841935
20	1	70.0	68.21929938	75.1166666667	1.0	0	0	70.0	20.21723229	7.75	0	1	1	1	0	11.8181041134
21	1	75.0	66.60847718	53.6833333333	0.0	0	0	75.0	17.10824757	7.75	0	1	1	1	0	-2.76114826489
22	1	30.0	66.60847718	53.6833333333	1.0	0	0	30.0	17.10824757	7.75	0	1	1	1	0	2.48522774863
23	1	55.0	66.60847718	53.6833333333	0.0	0	0	55.0	17.10824757	7.75	0	1	1	1	0	-44.7026408962
24	1	55.0	68.39660218	66.8333333333	1.0	0	0	55.0	16.37643817	7.75	0	1	1	1	0	5.12506497296
25	1	30.0	68.39660218	66.8333333333	1.0	1	0	30.0	16.37643817	7.75	0	1	1	1	0	1.64651408633
26	1	60.0	64.82919017	71.1166666667	0.0	0	0	60.0	20.92561492	7.75	0	1	1	1	0	5.13455983538
27	1	60.0	48.90327895	58.7666666667	0.0	0	0	60.0	14.15606469	7.75	0	1	1	1	0	-33.367523473
28	1	37.0	60.25857119	55.1333333333	0.0	1	0	37.0	17.38564167	7.75	0	1	1	1	0	2.89569326415
29	1	55.0	60.25857119	55.1333333333	0.0	0	0	55.0	17.38564167	7.75	0	1	1	1	0	393.814283925
30	1	60.0	60.25857119	55.1333333333	1.0	0	0	60.0	17.38564167	7.75	0	1	1	1	0	-10.7894324363
31	1	38.7	60.25857119	55.1333333333	0.0	0	1	38.7	17.38564167	7.75	0	1	1	1	0	3.19524773976
32	1	30.0	66.83415588	70.3833333333	0.0	0	0	30.0	17.52427221	7.75	0	1	1	1	0	1.46308268791
33	1	60.0	66.83415588	70.3833333333	1.0	0	1	60.0	17.52427221	7.75	0	1	1	1	0	5.69028788571
34	1	45.0	66.83415588	70.3833333333	1.0	1	0	45.0	17.52427221	7.75	0	1	1	1	0	2.32767521523
35	1	38.7	66.83415588	70.3833333333	0.0	0	0	38.7	17.52427221	7.75	0	1	1	1	0	1.86483395729
36	1	38.7	66.83415588	70.3833333333	1.0	1	0	38.7	17.52427221	7.75	0	1	1	1	0	1.86483395729
37	1	25.0	68.44091579	73.0833333333	0.0	0	1	25.0	18.16930985	7.75	0	1	1	1	0	1.26220275473
38	1	60.0	68.04205471	65.05	0.0	1	0	60.0	17.6506841	7.75	0	1	1	1	0	11.9390207347
39	1	45.0	68.04205471	65.05	1.0	0	1	45.0	17.6506841	7.75	0	1	1	1	0	3.00708502294
40	1	60.0	68.49460435	74.75	0.0	0	1	60.0	18.31506925	7.75	0	1	1	1	0	4.11827826102
41	1	60.0	68.49460435	74.75	0.0	0	0	60.0	18.31506925	7.75	0	1	1	1	0	4.11827826102
42	1	30.0	52.32345148	64.75	1.0	0	0	30.0	14.35310219	7.75	0	1	1	1	0	1.28268925122
43	1	38.7	68.28061554	50.0166666667	0.0	1	0	38.7	17.238983	7.75	0	1	1	1	0	5.3488025514
44	1	45.0	52.9011677	66.5	1.0	1	0	45.0	14.60340426	7.75	0	1	1	1	0	2.10005431163
45	1	32.0	47.06751005	75.9333333333	0.0	0	0	32.0	12.46944444	7.75	0	1	1	1	0	0.894935737102
46	1	25.0	47.06751005	75.9333333333	1.0	0	0	25.0	12.46944444	7.75	0	1	1	1	0	0.771940642343
47	1	50.0	63.6171793	72.1833333333	0.0	1	0	50.0	18.6724157	7.75	0	1	1	1	0	2.51843032156
48	1	38.7	63.6171793	72.1833333333	1.0	1	0	38.7	18.6724157	7.75	0	1	1	1	0	1.66850709706
49	1	30.0	44.50614743	60.3	0.0	0	0	30.0	11.64418803	7.75	0	1	1	1	0	1.21307417261
50	1	38.0	44.50614743	60.3	0.0	0	1	38.0	11.64418803	7.75	0	1	1	1	0	1.64825773229
51	1	30.0	37.59233862	50.5333333333	0.0	0	0	30.0	10.24322581	7.75	0	1	1	1	0	1.45336064708
52	1	38.7	63.26119903	72.5833333333	1.0	1	0	38.7	17.40059967	7.75	0	1	1	1	0	1.63830395563
