ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
0	1	47.88	66.70	58.08	7.75	0	1	1	1	0
1	1	47.88	66.70	58.08	7.75	0	1	1	1	0
2	1	47.88	66.70	58.08	7.75	0	1	1	1	0
3	1	47.88	66.70	58.08	7.75	0	1	1	1	0
4	1	47.88	66.70	58.08	7.75	0	1	1	1	0
5	1	47.88	66.70	58.08	7.75	0	1	1	1	0
6	1	47.88	66.70	58.08	7.75	0	1	1	1	0
7	1	9.98	44.24	31.47	7.75	0	1	1	1	0
8	1	35.06	68.52	72.22	7.75	0	1	1	1	0
9	1	35.06	68.52	72.22	7.75	0	1	1	1	0
10	1	35.06	68.52	72.22	7.75	0	1	1	1	0
11	1	28.72	46.05	64.05	7.75	0	1	1	1	0
12	1	47.49	67.83	60.83	7.75	0	1	1	1	0
13	1	47.49	67.83	60.83	7.75	0	1	1	1	0
14	1	47.49	67.83	60.83	7.75	0	1	1	1	0
15	1	47.49	67.83	60.83	7.75	0	1	1	1	0
16	1	47.49	67.83	60.83	7.75	0	1	1	1	0
17	1	47.49	67.83	60.83	7.75	0	1	1	1	0
18	1	47.49	67.83	60.83	7.75	0	1	1	1	0
19	1	35.34	61.67	55.02	7.75	0	1	1	1	0
20	1	35.34	61.67	55.02	7.75	0	1	1	1	0
21	1	35.34	61.67	55.02	7.75	0	1	1	1	0
22	1	40.19	68.18	62.23	7.75	0	1	1	1	0
23	1	40.19	68.18	62.23	7.75	0	1	1	1	0
24	1	48.21	67.07	74.53	7.75	0	1	1	1	0
25	1	45.33	63.91	72.52	7.75	0	1	1	1	0
26	1	45.33	63.91	72.52	7.75	0	1	1	1	0
27	1	45.33	63.91	72.52	7.75	0	1	1	1	0
28	1	45.33	63.91	72.52	7.75	0	1	1	1	0
29	1	26.37	42.95	65.53	7.75	0	1	1	1	0
30	1	45.23	68.22	75.12	7.75	0	1	1	1	0
31	1	45.23	68.22	75.12	7.75	0	1	1	1	0
32	1	45.23	68.22	75.12	7.75	0	1	1	1	0
33	1	45.23	68.22	75.12	7.75	0	1	1	1	0
34	1	45.23	68.22	75.12	7.75	0	1	1	1	0
35	1	45.23	68.22	75.12	7.75	0	1	1	1	0
36	1	45.23	68.22	75.12	7.75	0	1	1	1	0
37	1	40.97	66.61	53.68	7.75	0	1	1	1	0
38	1	40.97	66.61	53.68	7.75	0	1	1	1	0
39	1	40.97	66.61	53.68	7.75	0	1	1	1	0
40	1	37.91	68.40	66.83	7.75	0	1	1	1	0
41	1	37.91	68.40	66.83	7.75	0	1	1	1	0
42	1	37.91	68.40	66.83	7.75	0	1	1	1	0
43	1	37.91	68.40	66.83	7.75	0	1	1	1	0
44	1	37.91	68.40	66.83	7.75	0	1	1	1	0
45	1	49.08	64.83	71.12	7.75	0	1	1	1	0
46	1	24.58	48.90	58.77	7.75	0	1	1	1	0
47	1	37.61	60.26	55.13	7.75	0	1	1	1	0
48	1	37.61	60.26	55.13	7.75	0	1	1	1	0
49	1	37.61	60.26	55.13	7.75	0	1	1	1	0
50	1	37.61	60.26	55.13	7.75	0	1	1	1	0
51	1	42.80	66.83	70.38	7.75	0	1	1	1	0
52	1	42.80	66.83	70.38	7.75	0	1	1	1	0
53	1	42.80	66.83	70.38	7.75	0	1	1	1	0
54	1	42.80	66.83	70.38	7.75	0	1	1	1	0
55	1	42.80	66.83	70.38	7.75	0	1	1	1	0
56	1	42.80	66.83	70.38	7.75	0	1	1	1	0
57	1	42.80	66.83	70.38	7.75	0	1	1	1	0
58	1	33.84	68.44	73.08	7.75	0	1	1	1	0
59	1	33.84	68.44	73.08	7.75	0	1	1	1	0
60	1	33.84	68.44	73.08	7.75	0	1	1	1	0
61	1	33.84	68.44	73.08	7.75	0	1	1	1	0
62	1	46.91	68.04	65.05	7.75	0	1	1	1	0
63	1	46.91	68.04	65.05	7.75	0	1	1	1	0
64	1	38.70	68.94	81.00	7.75	0	1	1	1	0
65	1	38.70	68.94	81.00	7.75	0	1	1	1	0
66	1	29.35	68.65	96.00	7.75	0	1	1	1	0
67	1	39.88	68.49	74.75	7.75	0	1	1	1	0
68	1	39.88	68.49	74.75	7.75	0	1	1	1	0
69	1	39.88	68.49	74.75	7.75	0	1	1	1	0
70	1	39.88	68.49	74.75	7.75	0	1	1	1	0
71	1	37.28	68.68	77.38	7.75	0	1	1	1	0
72	1	33.02	52.32	64.75	7.75	0	1	1	1	0
73	1	46.38	68.28	50.02	7.75	0	1	1	1	0
74	1	46.38	68.28	50.02	7.75	0	1	1	1	0
75	1	46.38	68.28	50.02	7.75	0	1	1	1	0
76	1	38.82	64.11	77.08	7.75	0	1	1	1	0
77	1	33.58	52.90	66.50	7.75	0	1	1	1	0
78	1	32.31	47.07	75.93	7.75	0	1	1	1	0
79	1	32.31	47.07	75.93	7.75	0	1	1	1	0
80	1	47.26	63.62	72.18	7.75	0	1	1	1	0
81	1	47.26	63.62	72.18	7.75	0	1	1	1	0
82	1	47.26	63.62	72.18	7.75	0	1	1	1	0
83	1	28.17	44.51	60.30	7.75	0	1	1	1	0
84	1	28.17	44.51	60.30	7.75	0	1	1	1	0
85	1	23.01	37.59	50.53	7.75	0	1	1	1	0
