ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	av1	av2	av3
241	3	28.25	57.83	100.62	1	1	1
25	3	32.31	39.57	75.93	1	1	1
292	3	40	58.19	97.23	1	1	1
222	3	38.3	65.46	101.33	1	1	1
390	1	43.83	53.79	65.73	1	1	1
313	3	26	36.5	80.2	1	1	1
316	1	35.06	57.6	72.22	1	1	1
375	3	26.37	36.1	65.53	1	1	1
32	3	37.01	53.56	52.98	1	1	1
291	3	29.52	44.33	76.78	1	1	1
215	3	26.37	36.1	65.53	1	1	1
229	3	46.38	57.4	50.02	1	1	1
134	2	39.78	53.18	72.58	1	1	1
9	3	45.33	53.72	72.52	1	1	1
372	3	47.49	57.02	60.83	1	1	1
167	2	41.98	57.39	66.68	1	1	1
6	3	40.19	57.31	62.23	1	1	1
266	3	19.22	32.98	42.43	1	1	1
401	3	39.88	57.58	74.75	1	1	1
123	2	38.82	53.9	77.08	1	1	1
406	1	22.18	57.83	109.45	1	1	1
73	2	40.19	57.31	62.23	1	1	1
321	1	37.91	57.5	66.83	1	1	1
311	3	34.49	46.5	95.38	1	1	1
392	1	33.58	44.47	66.5	1	1	1
177	2	28.79	43.29	90.65	1	1	1
310	3	16.39	21.67	80	1	1	1
258	3	28.38	42.6	40.22	1	1	1
276	3	7.91	12.3	51.48	1	1	1
7	3	40.19	57.31	62.23	1	1	1
272	3	34.88	46.33	70.42	1	1	1
332	1	41.44	55.56	56.42	1	1	1
64	2	47.49	57.02	60.83	1	1	1
17	3	37.61	50.66	55.13	1	1	1
132	2	38.81	61.36	99.77	1	1	1
102	2	37.61	50.66	55.13	1	1	1
359	1	38.7	57.95	81	1	1	1
201	3	47.88	56.07	58.08	1	1	1
214	3	45.33	53.72	72.52	1	1	1
8	3	48.21	56.38	74.53	1	1	1
97	2	37.91	57.5	66.83	1	1	1
23	3	33.02	43.99	64.75	1	1	1
153	2	39.09	50.48	76.72	1	1	1
242	3	20.37	46.14	54.23	1	1	1
110	2	29.35	57.71	96	1	1	1
79	2	48.21	56.38	74.53	1	1	1
331	1	34.88	46.33	70.42	1	1	1
104	2	42.8	56.18	70.38	1	1	1
408	1	12.87	19.88	61.18	1	1	1
208	3	28.72	38.71	64.05	1	1	1
159	2	34.88	46.33	70.42	1	1	1
199	3	47.26	53.48	72.18	1	1	1
78	2	48.21	56.38	74.53	1	1	1
209	3	47.49	57.02	60.83	1	1	1
322	1	37.91	57.5	66.83	1	1	1
261	3	29.62	35.5	68.5	1	1	1
121	2	46.38	57.4	50.02	1	1	1
1	3	47.88	56.07	58.08	1	1	1
335	3	36.45	58.58	97.67	1	1	1
149	2	45.88	54.77	76.17	1	1	1
299	3	42.61	57.57	76.6	1	1	1
70	2	40.19	57.31	62.23	1	1	1
35	3	39.74	56.87	68.62	1	1	1
197	3	29.35	57.71	96	1	1	1
326	1	36.83	57.4	69.77	1	1	1
145	2	25.56	44.46	43.87	1	1	1
273	3	38.74	61.22	70.82	1	1	1
75	2	48.21	56.38	74.53	1	1	1
376	3	45.23	57.35	75.12	1	1	1
138	2	39.74	56.87	68.62	1	1	1
130	2	20.37	46.14	54.23	1	1	1
353	1	33.2	57.83	96.25	1	1	1
319	1	45.33	53.72	72.52	1	1	1
84	2	26.37	36.1	65.53	1	1	1
24	3	33.58	44.47	66.5	1	1	1
