ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	av1	av2	av3
1	3	28.17	37.41	60.3	1	1	1
2	3	28.17	37.41	60.3	1	1	1
3	3	23.01	31.6	50.53	1	1	1
4	3	16.59	27.75	71.28	1	1	1
5	3	37.01	53.56	52.98	1	1	1
6	3	37.01	53.56	52.98	1	1	1
7	3	39.74	56.87	68.62	1	1	1
8	3	39.74	56.87	68.62	1	1	1
9	3	36.64	57.92	78.7	1	1	1
10	3	36.83	57.4	69.77	1	1	1
11	3	25.56	44.46	43.87	1	1	1
12	3	40.13	55.34	78.9	1	1	1
13	3	45.88	54.77	76.17	1	1	1
14	3	45	57.43	54.67	1	1	1
15	3	17.11	24.42	38.32	1	1	1
16	3	17.11	24.42	38.32	1	1	1
17	3	39.09	50.48	76.72	1	1	1
18	3	39.09	50.48	76.72	1	1	1
19	3	39.09	50.48	76.72	1	1	1
20	3	38.74	61.22	70.82	1	1	1
21	3	38.74	61.22	70.82	1	1	1
22	3	7.91	12.3	51.48	1	1	1
23	3	31.18	44.5	71.78	1	1	1
24	3	28.68	40.96	69.83	1	1	1
25	3	37.96	57.18	67.43	1	1	1
26	3	24.2	33.98	61.23	1	1	1
27	3	28.79	43.29	90.65	1	1	1
28	3	41.44	55.56	56.42	1	1	1
29	3	29.47	55.05	75.37	1	1	1
30	3	38.9	57.59	79.63	1	1	1
31	2	26.37	36.1	65.53	1	1	1
32	2	26.37	36.1	65.53	1	1	1
33	2	26.37	36.1	65.53	1	1	1
34	2	26.37	36.1	65.53	1	1	1
35	2	26.37	36.1	65.53	1	1	1
36	2	26.37	36.1	65.53	1	1	1
37	2	40.97	55.99	53.68	1	1	1
38	2	37.91	57.5	66.83	1	1	1
39	2	37.91	57.5	66.83	1	1	1
40	2	24.58	41.11	58.77	1	1	1
41	2	24.58	41.11	58.77	1	1	1
42	2	23.01	31.6	50.53	1	1	1
43	2	23.01	31.6	50.53	1	1	1
44	2	20.37	46.14	54.23	1	1	1
45	2	31.08	58.75	87.9	1	1	1
46	2	38.81	61.36	99.77	1	1	1
47	2	39.78	53.18	72.58	1	1	1
48	2	39.78	53.18	72.58	1	1	1
49	2	32.39	57.27	83.83	1	1	1
50	2	32.39	57.27	83.83	1	1	1
51	2	16.59	27.75	71.28	1	1	1
52	2	39.74	56.87	68.62	1	1	1
53	2	36.64	57.92	78.7	1	1	1
54	2	36.64	57.92	78.7	1	1	1
55	2	36.83	57.4	69.77	1	1	1
56	2	36.83	57.4	69.77	1	1	1
57	2	42.83	57.37	67.88	1	1	1
58	2	42.83	57.37	67.88	1	1	1
59	2	25.56	44.46	43.87	1	1	1
60	2	40.13	55.34	78.9	1	1	1
61	2	34.47	48.58	78.98	1	1	1
62	2	28.38	42.6	40.22	1	1	1
63	2	45.88	54.77	76.17	1	1	1
64	2	39.65	57.69	83.62	1	1	1
65	2	39.65	57.69	83.62	1	1	1
66	2	19.22	32.98	42.43	1	1	1
67	2	39.09	50.48	76.72	1	1	1
68	2	32.79	65.5	93.58	1	1	1
69	2	32.89	50.44	53.97	1	1	1
70	2	32.89	50.44	53.97	1	1	1
71	2	32.89	50.44	53.97	1	1	1
72	2	49.15	56.6	78.6	1	1	1
73	2	34.88	46.33	70.42	1	1	1
74	2	38.74	61.22	70.82	1	1	1
75	2	29.15	43.22	55.22	1	1	1
76	2	29.15	43.22	55.22	1	1	1
77	2	7.91	12.3	51.48	1	1	1
78	2	7.91	12.3	51.48	1	1	1
79	2	29.23	53.5	97.67	1	1	1
80	2	41.98	57.39	66.68	1	1	1
81	2	41.98	57.39	66.68	1	1	1
82	2	41.98	57.39	66.68	1	1	1
83	2	24.25	43.75	82.9	1	1	1
84	2	31.67	45.36	64.22	1	1	1
85	2	14.44	28.35	42.67	1	1	1
86	2	37.25	57.83	89.02	1	1	1
87	2	31.26	57.55	82.73	1	1	1
88	2	18.3	37.41	40.57	1	1	1
89	2	27.48	43.04	59.98	1	1	1
90	2	27.48	43.04	59.98	1	1	1
91	2	28.79	43.29	90.65	1	1	1
92	2	22.04	30.91	53.08	1	1	1
93	2	42.61	57.57	76.6	1	1	1
94	2	42.61	57.57	76.6	1	1	1
95	2	39.12	57.38	63.85	1	1	1
96	2	37.34	59.8	88	1	1	1
97	2	34.49	46.5	95.38	1	1	1
98	2	42.13	60.75	73.55	1	1	1
99	2	38.98	67.33	97.08	1	1	1
100	2	16.87	31.54	39.6	1	1	1
101	2	29.66	45.75	106.52	1	1	1
102	2	29.66	45.75	106.52	1	1	1
103	3	47.88	56.07	58.08	1	1	1
104	3	35.06	57.6	72.22	1	1	1
105	3	48.21	56.38	74.53	1	1	1
106	3	26.37	36.1	65.53	1	1	1
107	3	40.97	55.99	53.68	1	1	1
108	3	40.97	55.99	53.68	1	1	1
109	3	40.97	55.99	53.68	1	1	1
110	3	46.91	57.2	65.05	1	1	1
111	3	29.35	57.71	96	1	1	1
112	3	46.38	57.4	50.02	1	1	1
113	3	47.26	53.48	72.18	1	1	1
114	3	49.68	55.74	72.33	1	1	1
115	3	47.88	56.07	58.08	1	1	1
116	3	42.8	56.18	70.38	1	1	1
117	3	33.84	57.53	73.08	1	1	1
118	3	34.49	46.5	95.38	1	1	1
119	3	47.88	56.07	58.08	1	1	1
120	3	36.45	58.58	97.67	1	1	1
121	3	28.72	38.71	64.05	1	1	1
122	3	28.72	38.71	64.05	1	1	1
123	3	47.49	57.02	60.83	1	1	1
124	3	16.15	23.29	38.62	1	1	1
125	3	16.15	23.29	38.62	1	1	1
126	3	16.15	23.29	38.62	1	1	1
127	3	16.15	23.29	38.62	1	1	1
128	3	45.33	53.72	72.52	1	1	1
129	3	26.37	36.1	65.53	1	1	1
130	3	26.37	36.1	65.53	1	1	1
131	3	11.39	31.26	35.15	1	1	1
132	3	37.61	50.66	55.13	1	1	1
133	3	37.61	50.66	55.13	1	1	1
134	3	38.3	65.46	101.33	1	1	1
135	3	38.3	65.46	101.33	1	1	1
136	3	38.3	65.46	101.33	1	1	1
137	3	33.84	57.53	73.08	1	1	1
138	3	29.35	57.71	96	1	1	1
139	3	28.77	37.44	43.25	1	1	1
140	3	37.28	57.74	77.38	1	1	1
141	3	37.28	57.74	77.38	1	1	1
142	3	46.38	57.4	50.02	1	1	1
143	3	46.38	57.4	50.02	1	1	1
144	3	38.82	53.9	77.08	1	1	1
145	3	38.82	53.9	77.08	1	1	1
146	3	38.82	53.9	77.08	1	1	1
147	3	14.27	29.5	69.72	1	1	1
148	3	45.64	54.32	70.65	1	1	1
149	3	33.58	44.47	66.5	1	1	1
150	3	33.58	44.47	66.5	1	1	1
151	3	32.31	39.57	75.93	1	1	1
152	3	32.31	39.57	75.93	1	1	1
153	3	28.17	37.41	60.3	1	1	1
154	3	23.01	31.6	50.53	1	1	1
155	3	28.25	57.83	100.62	1	1	1
156	3	20.37	46.14	54.23	1	1	1
157	3	49.68	55.74	72.33	1	1	1
158	3	38.81	61.36	99.77	1	1	1
159	3	39.78	53.18	72.58	1	1	1
160	3	16.59	27.75	71.28	1	1	1
161	3	16.59	27.75	71.28	1	1	1
162	3	16.59	27.75	71.28	1	1	1
163	3	37.01	53.56	52.98	1	1	1
164	3	25.86	33.67	67.32	1	1	1
165	3	25.86	33.67	67.32	1	1	1
166	3	25.86	33.67	67.32	1	1	1
167	3	36.64	57.92	78.7	1	1	1
168	3	25.56	44.46	43.87	1	1	1
169	3	34.47	48.58	78.98	1	1	1
170	3	34.47	48.58	78.98	1	1	1
171	3	34.47	48.58	78.98	1	1	1
172	3	28.38	42.6	40.22	1	1	1
173	3	32.89	52.42	93.37	1	1	1
174	3	32.89	52.42	93.37	1	1	1
175	3	29.62	35.5	68.5	1	1	1
176	3	45	57.43	54.67	1	1	1
177	3	22.18	57.83	109.45	1	1	1
178	3	39.65	57.69	83.62	1	1	1
179	3	19.22	32.98	42.43	1	1	1
180	3	19.22	32.98	42.43	1	1	1
181	3	19.22	32.98	42.43	1	1	1
182	3	26.6	54.91	90.98	1	1	1
183	3	32.79	65.5	93.58	1	1	1
184	3	32.79	65.5	93.58	1	1	1
185	3	32.89	50.44	53.97	1	1	1
186	3	34.88	46.33	70.42	1	1	1
187	3	38.74	61.22	70.82	1	1	1
188	3	15.18	33.46	71.62	1	1	1
189	3	7.91	12.3	51.48	1	1	1
190	3	7.91	12.3	51.48	1	1	1
191	3	43.95	57.57	93.77	1	1	1
192	3	31.18	44.5	71.78	1	1	1
193	3	31.18	44.5	71.78	1	1	1
194	3	28.68	40.96	69.83	1	1	1
195	3	24.25	43.75	82.9	1	1	1
196	3	25.01	38.03	48.18	1	1	1
197	3	28.16	36.67	68.22	1	1	1
198	3	51	84.58	127.95	1	1	1
199	3	37.2	46.17	51.08	1	1	1
200	3	31.67	45.36	64.22	1	1	1
201	3	14.44	28.35	42.67	1	1	1
202	3	20.61	42.56	51.68	1	1	1
203	3	20.61	42.56	51.68	1	1	1
204	3	29.52	44.33	76.78	1	1	1
205	3	29.52	44.33	76.78	1	1	1
206	3	40	58.19	97.23	1	1	1
207	3	40	58.19	97.23	1	1	1
208	3	17.89	37.85	43.88	1	1	1
209	3	30.5	47.7	52.38	1	1	1
210	3	18.3	37.41	40.57	1	1	1
211	3	27.47	36	71.72	1	1	1
212	3	27.62	51.9	98.68	1	1	1
213	3	42.61	57.57	76.6	1	1	1
214	3	12.87	19.88	61.18	1	1	1
215	3	12.87	19.88	61.18	1	1	1
216	3	26.1	41.6	73.55	1	1	1
217	3	26.1	41.6	73.55	1	1	1
218	3	30.5	59.33	90.55	1	1	1
219	3	30.5	59.33	90.55	1	1	1
220	3	65.86	48.44	89.73	1	1	1
221	3	22.67	36.02	93.12	1	1	1
222	3	22.67	36.02	93.12	1	1	1
223	3	29.47	55.05	75.37	1	1	1
224	3	34.49	46.5	95.38	1	1	1
225	3	26	36.5	80.2	1	1	1
226	3	26	36.5	80.2	1	1	1
227	1	47.88	56.07	58.08	1	1	1
228	1	35.06	57.6	72.22	1	1	1
229	1	35.06	57.6	72.22	1	1	1
230	1	47.49	57.02	60.83	1	1	1
231	1	47.17	53.77	63.78	1	1	1
232	1	45.33	53.72	72.52	1	1	1
233	1	40.97	55.99	53.68	1	1	1
234	1	37.91	57.5	66.83	1	1	1
235	1	37.91	57.5	66.83	1	1	1
